Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,AF,2018-08-07,AF1,Stylophora pistillata,SAU,22.29634,38.95914,AF1-39,2018-08-07,Wild,39,420,0.031,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF2,Stylophora pistillata,SAU,22.29634,38.95914,AF2-39,2018-08-07,Wild,39,420,0.023,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF3,Stylophora pistillata,SAU,22.29634,38.95914,AF3-39,2018-08-07,Wild,39,420,0.002,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF4,Stylophora pistillata,SAU,22.29634,38.95914,AF4-39,2018-08-07,Wild,39,420,0.051,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF5,Stylophora pistillata,SAU,22.29634,38.95914,AF5-39,2018-08-07,Wild,39,420,0,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF6,Stylophora pistillata,SAU,22.29634,38.95914,AF6-39,2018-08-07,Wild,39,420,0.001,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,AF,2018-08-07,AF7,Stylophora pistillata,SAU,22.29634,38.95914,AF7-39,2018-08-07,Wild,39,420,0.017,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT1,Stylophora pistillata,SAU,22.26189,39.04878,ExT1-30,2018-08-15,Wild,30,420,0.366,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT2,Stylophora pistillata,SAU,22.26189,39.04878,ExT2-30,2018-08-15,Wild,30,420,0.585,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT3,Stylophora pistillata,SAU,22.26189,39.04878,ExT3-30,2018-08-15,Wild,30,420,0.531,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT4,Stylophora pistillata,SAU,22.26189,39.04878,ExT4-30,2018-08-15,Wild,30,420,0.396,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT5,Stylophora pistillata,SAU,22.26189,39.04878,ExT5-30,2018-08-15,Wild,30,420,0.434,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT6,Stylophora pistillata,SAU,22.26189,39.04878,ExT6-30,2018-08-15,Wild,30,420,0.514,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT7,Stylophora pistillata,SAU,22.26189,39.04878,ExT7-30,2018-08-15,Wild,30,420,0.531,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT1,Stylophora pistillata,SAU,22.26189,39.04878,ExT1-33,2018-08-15,Wild,33,420,0.441,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT2,Stylophora pistillata,SAU,22.26189,39.04878,ExT2-33,2018-08-15,Wild,33,420,0.455,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
